Smalt Common Toothbrush,53.33,34
Smalt Common Notebook,79.95,5
Smalt Common Pen,53.02,38
Smalt Common Mug,29.87,38
Smalt Common Backpack,31.49,17
Smalt Uncommon Toothbrush,94.02,77
Smalt Uncommon Notebook,19.51,17
Smalt Uncommon Pen,13.61,87
Smalt Uncommon Mug,10.84,24
Smalt Uncommon Backpack,13.39,0
Smalt Rare Toothbrush,64.27,52
Smalt Rare Notebook,50.42,63
Smalt Rare Pen,23.25,5
Smalt Rare Mug,84.15,80
Smalt Rare Backpack,14.44,79
Smalt Mythic Toothbrush,10.02,93
Smalt Mythic Notebook,31.49,98
Smalt Mythic Pen,84.21,67
Smalt Mythic Mug,29.33,71
Smalt Mythic Backpack,23.37,96
Smalt Legendary Toothbrush,83.33,45
Smalt Legendary Notebook,83.60,60
Smalt Legendary Pen,90.70,74
Smalt Legendary Mug,13.00,1
Smalt Legendary Backpack,39.43,88
Maroon Common Toothbrush,87.79,83
Maroon Common Notebook,38.74,47
Maroon Common Pen,28.09,90
Maroon Common Mug,17.52,10
Maroon Common Backpack,86.61,63
Maroon Uncommon Toothbrush,82.21,65
Maroon Uncommon Notebook,57.43,51
Maroon Uncommon Pen,58.45,58
Maroon Uncommon Mug,78.59,81
Maroon Uncommon Backpack,24.77,81
Maroon Rare Toothbrush,66.41,58
Maroon Rare Notebook,90.75,63
Maroon Rare Pen,99.84,63
Maroon Rare Mug,86.44,65
Maroon Rare Backpack,89.83,47
Maroon Mythic Toothbrush,29.59,47
Maroon Mythic Notebook,22.21,77
Maroon Mythic Pen,74.83,74
Maroon Mythic Mug,18.11,97
Maroon Mythic Backpack,31.39,13
Maroon Legendary Toothbrush,53.97,58
Maroon Legendary Notebook,99.47,39
Maroon Legendary Pen,21.68,17
Maroon Legendary Mug,28.41,66
Maroon Legendary Backpack,96.10,67
Lime Common Toothbrush,56.64,33
Lime Common Notebook,84.36,11
Lime Common Pen,76.69,3
Lime Common Mug,10.86,89
Lime Common Backpack,38.85,55
Lime Uncommon Toothbrush,54.47,73
Lime Uncommon Notebook,56.96,71
Lime Uncommon Pen,76.65,54
Lime Uncommon Mug,78.08,79
Lime Uncommon Backpack,57.12,81
Lime Rare Toothbrush,92.52,18
Lime Rare Notebook,20.87,72
Lime Rare Pen,96.01,89
Lime Rare Mug,70.74,16
Lime Rare Backpack,59.01,4
Lime Mythic Toothbrush,22.22,79
Lime Mythic Notebook,64.34,31
Lime Mythic Pen,18.14,78
Lime Mythic Mug,19.51,3
Lime Mythic Backpack,74.14,27
Lime Legendary Toothbrush,86.83,94
Lime Legendary Notebook,68.43,88
Lime Legendary Pen,20.36,46
Lime Legendary Mug,43.97,6
Lime Legendary Backpack,70.35,61
Teal Common Toothbrush,38.72,14
Teal Common Notebook,33.78,42
Teal Common Pen,82.79,85
Teal Common Mug,50.47,31
Teal Common Backpack,65.56,45
Teal Uncommon Toothbrush,40.05,98
Teal Uncommon Notebook,65.02,57
Teal Uncommon Pen,20.64,87
Teal Uncommon Mug,54.04,85
Teal Uncommon Backpack,74.72,71
Teal Rare Toothbrush,41.07,85
Teal Rare Notebook,24.28,76
Teal Rare Pen,56.94,40
Teal Rare Mug,46.65,24
Teal Rare Backpack,45.97,18
Teal Mythic Toothbrush,39.97,58
Teal Mythic Notebook,77.70,2
Teal Mythic Pen,59.53,45
Teal Mythic Mug,16.80,87
Teal Mythic Backpack,61.08,62
Teal Legendary Toothbrush,31.26,98
Teal Legendary Notebook,74.92,49
Teal Legendary Pen,84.02,27
Teal Legendary Mug,64.09,80
Teal Legendary Backpack,87.24,64
